id	url	text	label	unique
vk20151021_69_0_id6924213_5661	http://vk.com/wall6924213_5661	Вечерняя прослушка и продумка:)� @ Триумф	author	True
vk20150809_50_1_id50635846_812	http://vk.com/wall50635846_812	"Видеорегистраторы TrendVision занимают лидирующие позиции на рынке. Идеальное соотношение цены / качества / функционала. Богатые характеристики, небольшие размеры, отличное качество как дневной, так и ночной съёмки, удобность установки, удобность эксплуатации. Кроме того, TrendVision, это честный сервис и гарантийное обслуживание. 

Наш магазин является официальным дилером марки ""TrendVision"". Приобретая у нас видеорегистраторы TrendVision, вы можете быть уверены в качестве, подлинности и наличии официальной гарантии."	advertising	True
vk20150813_60_0_id609962_11196	http://vk.com/wall609962_11196	А вечером был семейный ужин с родителями и ягодно-овощной завал с семейных дачных усадеб) ценность - в теплоте отношений!	author	True
vk20150203_32_2_id32795494_5788	http://vk.com/wall32795494_5788	я помню как Кузьма вёл передачу ШАНС,всегда болела за его команду, очень люблю его песни, он всегда будет в наших сердцах...	author	True
vk20150213_34_4_id34025865_4176	http://vk.com/wall34025865_4176	"Уважаемые коллеги! В ближайшее время у нас состоятся заседание.

18 февраля - заседание совместно с СНК кафедры дерматологии и венерологии, патомрфологии и акушерства и гинекологии #1
Темы, которые будут рассмотрены:
-Витилиго
-Буллёзный эпидермолиз
-Склеродермия (локализованная)
- Врожденная гонорея новорожденных.
- Врожденный сифилис.
Ждём всех желающих."	advertising	True
vk20141003_62_0_id62492485_8422	http://vk.com/wall62492485_8422	не воспринимай все что тебе говорят буквально, расслабься и выпей крым	author	True
vk20150224_78_6_id78216526_8227	http://vk.com/wall78216526_8227	"сделать сброс настроек на телефоне не сделав при этом резервн. копию могу только я))
пишите в вибере"	author	True
vk20150609_33_5_id33473098_5015	http://vk.com/wall33473098_5015	"Анюта с детками � все-таки девчачьи праздники - это особое удовольствие для меня :)) 
Декор и веночки - моя @mechti_sbivayutsia #dashakudryavtseva #mechti_sbivayutsia  @ dashakudryavtseva.com"	author	True
vk20160314_67_0_id67225460_10107	http://vk.com/wall67225460_10107	"Господи Я поверить не могу по чему так!!!!! Дай сил всем близким справится с этим!!
Я говорила уже и буду всегда говорить и Я Вас умоляю ребята не откладывайте жизнь на потом, потом её не будет!!!!
Сегодня можем лечь и завтра не проснутся, будте проще и цените абсолютно все!!"	author	True
vk20141029_89_1_id89477542_15474	http://vk.com/wall89477542_15474	"единственное,что для меня главное в куне так это: дылда,скулы,губы пухлые,руки мощные,голос грубый и волосы черные (темно русые,темно каштановые),глаза лишь бы не голубые. 
а вот тело..поч я не умею разбираться в этом? мне просто НАСРАТЬ (а вот в тян все по-другому,там аж целый список хихихихи) 
некоторые любят накаченных,некоторые подкаченных,некоторые жирных (лул.жирные куны сосут хуй,ГЕЙБ НЕ СЧИТАЕТСЯ) или по частям тип накаченная жопа,пресс,спина,сиськи. (ВААА ПОСМОТРИ КАКАЯ У НЕГО КРУТАЯ ЗАДНИЦА,ЯБВДУЛА) фуфуу
а есть такой тип,как я : ""главное,чтобы не жирный и не качок"" 
и хуй пойми; меня больше интересуют внутренние кач-ва,характер,интересы,блаблабла и вот тут список огромнейший
но смотря на вот такие фото мужиков,мне хочется ржать и рыдать,как свинья последняя. 
в такие моменты я думаю ""бля,что за пиздец? зачем?""
баб правда это возбуждает? тогда со мной что-то не так.
хотя..мне нравится Петель,ну тот,Пашка который ябогачка,стиль его этот.
но я ржу с его видяшек и с его образов
а с этаких фото я блюю"	author	True
